YEAR,WEEK,Sunday
2020,35,8/23/2020
2020,36,8/30/2020
2020,37,9/6/2020
2020,38,9/13/2020
2020,39,9/20/2020
2020,40,9/27/2020
2020,41,10/4/2020
2020,42,10/11/2020
2020,43,10/18/2020
2020,44,10/25/2020
2020,45,11/1/2020
2020,46,11/8/2020
2020,47,11/15/2020
2020,48,11/22/2020
2020,49,11/29/2020
2020,50,12/6/2020
2020,51,12/13/2020
2020,52,12/20/2020
2020,53,12/27/2020
